Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
"1,1,1,2-Tetrachloroethane",-2.18,-2.794,ClCC(Cl)(Cl)Cl
"1,1,1-Trichloroethane",-2,-2.232,CC(Cl)(Cl)Cl
"1,1,2,2-Tetrachloroethane",-1.74,-2.549,ClC(Cl)C(Cl)Cl
"1,1,2-Trichloroethane",-1.48,-1.961,ClCC(Cl)Cl
"1,1,2-Trichlorotrifluoroethane",-3.04,-3.077,FC(F)(Cl)C(F)(Cl)Cl
"1,1-Dichloroethane",-1.29,-1.576,CC(Cl)Cl
"1,1-Dichloroethylene",-1.64,-1.939,ClC(=C)Cl
"1,1-Diethoxyethane ",-0.43,-0.899,CCOC(C)OCC
"1,2,3,4-Tetrachlorobenzene",-4.57,-4.546,Clc1ccc(Cl)c(Cl)c1Cl
"1,2,3,4-Tetrahydronapthalene",-4.37,-3.447,C1CCc2ccccc2C1
"1,2,3,5-Tetrachlorobenzene",-4.63,-4.621,Clc1cc(Cl)c(Cl)c(Cl)c1
"1,2,3-Trichlorobenzene",-4,-4.008,Clc1cccc(Cl)c1Cl
"1,2,3-Trimethylbenzene ",-3.2,-3.312,Cc1cccc(C)c1C
"1,2,4,5-Tetrabromobenzene",-6.98,-6.001,Brc1cc(Br)c(Br)cc1Br
"1,2,4,5-Tetrachlorobenzene",-5.56,-4.621,Clc1cc(Cl)c(Cl)cc1Cl
"1,2,4,5-Tetramethylbenzene",-4.59,-3.664,Cc1cc(C)c(C)cc1C
"1,2,4-tribromobenzene",-4.5,-5.144,c1(Br)c(Br)cc(Br)cc1
"1,2,4-Trichlorobenzene",-3.59,-4.083,Clc1ccc(Cl)c(Cl)c1
"1,2,4-Trimethylbenzene",-3.31,-3.343,Cc1ccc(C)c(C)c1
"1,2-Benzenediol",0.62,-1.635,Oc1ccccc1O
"1,2-Dibromobenzene",-3.5,-4.172,Brc1ccccc1Br
"1,2-Dibromoethane",-1.68,-2.102,BrCCBr
"1,2-Dichlorobenzene",-3.05,-3.482,Clc1ccccc1Cl
"1,2-Dichloroethane",-1.06,-1.374,ClCCCl
"1,2-Dichloropropane",-1.6,-1.794,CC(Cl)CCl
"1,2-Dichlorotetrafluoroethane",-2.74,-2.697,FC(F)(Cl)C(F)(F)Cl
"1,2-Diethoxyethane ",-0.77,-0.833,CCOCCOCC
"1,2-Diethylbenzene",-3.28,-3.601,CCc1ccccc1CC
"1,2-Dinitrobenzene",-3.1,-2.281,O=N(=O)c1ccccc1N(=O)=O
"1,2-Propylene oxide",-0.59,-0.358,CC1CO1
"1,3,5-Tribromobenzene",-5.6,-5.27,Brc1cc(Br)cc(Br)c1
"1,3,5-Trichlorobenzene",-4.48,-4.159,Clc1cc(Cl)cc(Cl)c1
"1,3,5-Trimethylbenzene ",-3.4,-3.375,Cc1cc(C)cc(C)c1
"1,3,5-Trinitrobenzene",-2.89,-2.324,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
"1,3-Benzenediol",0.81,-1.59,Oc1cccc(O)c1
"1,3-Butadiene",-1.87,-1.376,C=CC=C
"1,3-Dibromobenzene",-3.54,-4.298,Brc1cccc(Br)c1
"1,3-Dichlorobenzene",-3.04,-3.558,Clc1cccc(Cl)c1
"1,3-Dichloropropane",-1.62,-1.618,ClCCCCl
"1,3-diethylthiourea",-1.46,-1.028,CCNC(=S)NCC
"1,3-Difluorobenzene",-2,-2.636,Fc1cccc(F)c1
"1,3-Dimethylnaphthalene",-4.29,-4.147,Cc1cc(C)c2ccccc2c1
"1,3-Dinitrobenzene",-2.29,-2.281,O=N(=O)c1cccc(c1)N(=O)=O
"1,4-Benzenediol",-0.17,-1.59,Oc1ccc(O)cc1
"1,4-Cyclohexadiene",-2.06,-1.842,C1C=CCC=C1
"1,4-Dibromobenzene",-4.07,-4.298,Brc1ccc(Br)cc1
"1,4-Dichlorobenzene",-3.27,-3.558,Clc1ccc(Cl)cc1
"1,4-Diethylbenzene ",-3.75,-3.633,CCc1ccc(CC)cc1
"1,4-Difluorobenzene",-1.97,-2.636,Fc1ccc(F)cc1
"1,4-Dimethylnaphthalene ",-4.14,-4.147,Cc1ccc(C)c2ccccc12
"1,4-Dinitrobenzene",-3.39,-2.281,O=N(=O)c1ccc(cc1)N(=O)=O
"1,4-Pentadiene ",-2.09,-1.758,C=CCC=C
"1,5-Dimethlnapthalene",-4.679,-4.147,Cc1cccc2c(C)cccc12
"1,5-Hexadiene ",-2.68,-2.112,C=CCCC=C
"1,7-phenantroline",-2.68,-2.994,c1cnc2c(c1)ccc3ncccc23
"1,8-Cineole",-1.74,-2.579,CC12CCC(CC1)C(C)(C)O2
17a-Methyltestosterone,-3.999,-4.073,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
1-aminoacridine,-4.22,-3.542,Nc2cccc3nc1ccccc1cc23 
1-Bromo-2-methylpropane,-2.43,-2.288,CC(C)CBr
1-Bromobutane,-2.37,-2.303,CCCCBr
1-Bromoheptane,-4.43,-3.366,CCCCCCCBr
1-Bromohexane,-3.81,-3.012,CCCCCCBr
1-Bromonapthalene,-4.35,-4.434,Brc1cccc2ccccc12
1-Bromooctane,-5.06,-3.721,CCCCCCCCBr
1-Bromopentane,-3.08,-2.658,CCCCCBr
1-Bromopropane,-1.73,-1.949,CCCBr
1-Butanol,0,-0.688,CCCCO
1-Butene,-1.94,-1.655,CCC=C
1-Butyne,-1.24,-1.092,CCC#C
1-Chloro-2-bromoethane,-1.32,-1.738,ClCCBr
1-Chloro-2-methylpropane,-2,-1.924,ClCC(C)C
1-Chlorobutane,-2.03,-1.94,CCCCCl
1-Chloroheptane,-4,-3.003,CCCCCCCCl
1-Chlorohexane,-3.12,-2.648,CCCCCCCl
1-Chloronapthalene,-3.93,-4.063,Clc1cccc2ccccc12
1-Chloropentane,-2.73,-2.294,CCCCCCl
1-Chloropropane,-1.47,-1.585,CCCCl
1-Decanol,-3.63,-2.814,CCCCCCCCCCO
1-Decene,-5.51,-3.781,CCCCCCCCC=C
1-Dodecanol,-4.8,-3.523,CCCCCCCCCCCCO
1-Ethylnaphthalene ,-4.17,-4.1,CCc1cccc2ccccc12
1-Heptanol,-1.81,-1.751,CCCCCCCO
1-Heptene,-3.73,-2.718,CCCCCC=C
1-Heptyne,-3.01,-2.155,CCCCCC#C
1-Hexadecanol,-7,-4.94,CCCCCCCCCCCCCCCCO
1-Hexanol,-1.24,-1.397,CCCCCCO
1-Hexene,-3.23,-2.364,CCCCC=C
1-Hexene-3-ol,-0.59,-1.199,CCCC(O)C=C
1-Hexyne ,-2.36,-1.801,CCCCC#C
1-Iodobutane,-2.96,-2.841,CCCCI
1-Iodoheptane,-4.81,-3.904,CCCCCCCI
1-Iodonapthalene,-4.55,-4.889,Ic1cccc2ccccc12
1-Iodopropane,-2.29,-2.486,CCCI
1-Methylcyclohexene ,-3.27,-2.574,CC1=CCCCC1
1-Methylfluorene,-5.22,-4.478,Cc1cccc2c1Cc3ccccc32
1-Methylnaphthalene,-3.7,-3.802,Cc1cccc2ccccc12
1-Methylphenanthrene,-5.85,-4.87,Cc1cccc2c1ccc3ccccc32
1-methyluracil,-0.807,-0.375,Cn1ccc(=O)[nH]c1=O
1-Napthol,-2.22,-3.08,Oc1cccc2ccccc12
1-Napthylamine,-1.92,-2.721,Nc1cccc2ccccc12
1-Nitronapthalene,-3.54,-3.414,O=N(=O)c1cccc2ccccc12
1-Nitropropane,-0.8,-0.816,CCCN(=O)=O
1-Nonanol,-3.01,-2.46,CCCCCCCCCO
1-Nonene ,-5.05,-3.427,CCCCCCCC=C
1-Nonyne ,-4.24,-2.864,CCCCCCCC#C
1-Octadecanol,-8.4,-5.649,CCCCCCCCCCCCCCCCCCO
1-Octanol,-2.39,-2.105,CCCCCCCCO
1-Octene ,-4.44,-3.073,CCCCCCC=C
1-Octyne ,-3.66,-2.509,CCCCCCC#C
1-Pentadecanol,-6.35,-4.586,CCCCCCCCCCCCCCCO
1-Pentanol,-0.6,-1.042,CCCCCO
1-Pentene ,-2.68,-2.01,CCCC=C
1-Pentyne,-1.64,-1.446,CCCC#C
1-Phenylethanol,-0.92,-1.919,CC(O)c1ccccc1
1-Propanol,0.62,-0.334,CCCO
1-Tetradecanol,-5.84,-4.231,CCCCCCCCCCCCCCO
"2,2',3,3',4,4',5,5',6,6'-PCB",-11.6,-9.589,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl 
"2,2',3,3',4,4',5,5'-PCB",-9.16,-8.468,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl
"2,2',3,3',4,4'-PCB",-8.01,-7.192,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
"2,2',3,3',5,5',6,6'-PCB",-9.15,-8.304,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
"2,2',3,3',5,6-PCB",-8.6,-7.185,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
"2,2',3,3'-PCB",-7.28,-6.079,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
"2,2',3,4,4',5',6-PCB",-7.92,-7.898,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
"2,2',3,4,5,5',6-PCB",-8.94,-7.898,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
"2,2',3,4,5,5'-PCB",-7.68,-7.343,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl
"2,2',3,4,5-PCB",-7.21,-6.709,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl 
"2,2',3,4,6-PCB",-7.43,-6.627,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
"2,2',3,5,5',6-PCB",-7.42,-7.261,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl 
"2,2',3,5'-PCB",-6.47,-6.155,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl 
"2,2,3-Trimethylbutane",-4.36,-2.922,CC(C)C(C)(C)C
"2,2',4,4',5,5'-PCB",-8.56,-7.343,Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl 
"2,2',4,4',6,6'-PCB",-8.71,-7.179,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl 
"2,2',4,5'-PCB",-6.57,-6.23,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl 
"2,2,4,6,6'-PCB",-7.32,-6.545,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
"2,2,4-Trimethylpentane",-4.74,-3.276,CC(C)CC(C)(C)C
"2,2,5-Trimethylhexane",-5.05,-3.631,CC(C)CCC(C)(C)C
"2,2',6,6'-PCB",-7.39,-5.915,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl 
"2,2-Dimethyl-1-butanol",-1.04,-1.365,CCC(C)(C)CO
"2,2-Dimethylbutane",-3.55,-2.584,CCC(C)(C)C
"2,2-Dimethylpentane",-4.36,-2.938,CCCC(C)(C)C
"2,2-Dimethylpentanol",-1.52,-1.719,CCCC(C)(C)CO
"2,2-Dimethylpropanol",-0.4,-1.011,CC(C)(C)CO
"2,2'-PCB",-5.27,-4.984,Clc1ccccc1c2cc
"2,3,3',4,4',5-PCB",-7.82,-7.425,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl 
"2,3,3',4,4'6-PCB",-7.66,-7.746,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl 
"2,3',4,4',5-PCB",-7.39,-7.343,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl 
"2,3',4,4'-PCB",-7.8,-6.709,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
"2,3,4,5,6-PCB",-7.92,-6.785,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl 
"2,3',4',5-PCB",-7.25,-6.312,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
"2,3,4,5-Tetrachlorophenol",-3.15,-4.335,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
"2,3,4,6-Tetrachlorophenol",-3.1,-4.203,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
"2',3,4-PCB",-6.29,-5.686,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
"2,3,4'-PCB",-6.26,-5.686,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
"2,3,4-Trichlorophenol",-2.67,-3.705,Oc1ccc(Cl)c(Cl)c1Cl
